combo,partner_crime,child_crime,stranger_crime,burglary_home_stranger,property_rel,victim_male,victim_female,victim_unknown_sex,offender_male,offender_female,offender_unknown_sex,victim_minor,victim_adult,offender_minor,offender_adult,property_crime,person_crime,society_crime
ABBEVILLE-SC-2020-1,27,22,28,0,NA,31,45,0,52,30,10,19,56,19,56,51,38,17
ABBEVILLE-SC-2020-10,28,34,34,0,NA,63,63,2,86,65,31,5,118,5,118,96,52,51
ABBEVILLE-SC-2020-11,14,9,29,0,NA,46,64,0,107,33,17,5,100,5,100,96,37,38
ABBEVILLE-SC-2020-12,15,14,26,0,NA,70,79,0,121,44,23,19,128,19,128,121,44,45
ABBEVILLE-SC-2020-2,19,6,24,0,NA,32,45,0,79,41,14,2,74,2,74,69,38,45
ABBEVILLE-SC-2020-3,29,26,14,0,NA,65,70,0,100,31,29,15,119,15,119,101,51,23
ABBEVILLE-SC-2020-4,11,25,14,0,NA,53,75,1,85,44,21,6,119,6,119,116,39,11
ABBEVILLE-SC-2020-5,19,15,23,0,NA,97,77,7,141,74,25,1,170,1,170,142,36,76
ABBEVILLE-SC-2020-6,14,15,29,0,NA,53,72,0,98,55,38,4,119,4,119,92,50,57
ABBEVILLE-SC-2020-7,25,13,17,0,NA,69,65,2,97,36,29,0,130,0,130,94,44,46
ABBEVILLE-SC-2020-8,28,23,25,0,NA,63,70,1,108,35,28,4,127,4,127,100,52,44
ABBEVILLE-SC-2020-9,48,36,39,0,NA,77,78,0,88,49,53,33,121,33,121,100,76,35
ACADIA-LA-2020-10,0,0,2,0,NA,2,1,0,4,0,0,0,3,0,3,1,2,2
ACADIA-LA-2020-11,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1
ACADIA-LA-2020-12,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0
ACADIA-LA-2020-2,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1
ACADIA-LA-2020-4,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
ACADIA-LA-2020-5,0,0,0,0,NA,0,0,0,3,0,0,0,0,0,0,1,0,2
ACADIA-LA-2020-7,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0
ACCOMACK-VA-2020-1,16,11,24,0,NA,55,51,3,70,20,3,11,87,11,87,79,45,6
ACCOMACK-VA-2020-10,25,18,26,0,NA,58,53,1,69,25,6,12,93,12,93,78,52,9
ACCOMACK-VA-2020-11,27,19,26,0,NA,38,44,1,51,21,4,5,68,5,68,50,44,6
ACCOMACK-VA-2020-12,29,12,19,0,NA,35,60,0,70,22,2,7,84,7,84,64,48,14
ACCOMACK-VA-2020-2,25,14,21,0,NA,74,81,0,113,39,6,13,135,13,135,123,56,12
ACCOMACK-VA-2020-3,34,23,40,0,NA,39,73,0,92,31,5,14,95,14,95,72,61,28
ACCOMACK-VA-2020-4,20,17,27,0,NA,39,45,0,52,24,4,4,75,4,75,45,50,6
ACCOMACK-VA-2020-5,35,21,35,0,NA,46,55,0,76,23,1,6,92,6,92,68,56,12
ACCOMACK-VA-2020-6,21,12,22,0,NA,47,49,0,75,28,9,5,89,5,89,78,40,16
ACCOMACK-VA-2020-7,27,11,13,0,NA,52,66,0,77,23,4,4,105,4,105,90,43,9
ACCOMACK-VA-2020-8,33,21,25,0,NA,55,56,0,74,22,4,2,102,2,102,80,53,9
ACCOMACK-VA-2020-9,39,20,27,0,NA,43,62,2,70,35,7,10,83,10,83,71,57,9
ADA-ID-2020-1,263,243,354,5,NA,668,623,16,1232,562,147,133,1140,133,1140,1138,589,649
ADA-ID-2020-10,239,199,313,24,NA,828,762,0,1289,572,64,88,1484,88,1484,1355,492,783
ADA-ID-2020-11,231,256,305,9,NA,715,595,11,1129,392,43,72,1223,72,1223,1104,532,513
ADA-ID-2020-12,216,221,279,1,NA,575,528,0,965,508,61,102,994,102,994,912,469,628
ADA-ID-2020-2,280,254,370,0,NA,681,622,43,1267,596,114,152,1120,152,1120,1146,595,658
ADA-ID-2020-3,220,205,271,0,NA,527,610,4,1010,472,89,107,1002,107,1002,967,516,524
ADA-ID-2020-4,241,214,277,7,NA,658,620,0,1000,323,123,76,1186,76,1186,1056,500,330
ADA-ID-2020-5,248,232,312,5,NA,646,597,6,1090,442,84,96,1120,96,1120,992,558,608
ADA-ID-2020-6,228,202,282,5,NA,615,610,3,1158,479,67,78,1136,78,1136,1131,490,680
ADA-ID-2020-7,366,346,440,2,NA,827,760,7,1292,593,63,124,1452,124,1452,1291,699,606
ADA-ID-2020-8,318,290,398,11,NA,870,767,16,1457,558,67,105,1511,105,1511,1365,671,751
ADA-ID-2020-9,299,262,333,20,NA,870,830,13,1274,631,60,105,1579,105,1579,1426,563,737
ADAIR-IA-2020-1,4,4,4,0,NA,5,3,0,9,0,4,0,8,0,8,6,4,3
ADAIR-IA-2020-10,1,1,1,0,NA,2,2,0,3,0,2,0,4,0,4,3,1,2
ADAIR-IA-2020-11,0,0,0,0,NA,12,0,0,6,4,1,0,12,0,12,12,0,1
ADAIR-IA-2020-12,0,0,0,0,NA,2,0,0,0,0,2,0,2,0,2,2,0,0
ADAIR-IA-2020-2,0,0,0,0,NA,1,2,0,0,2,1,0,3,0,3,4,0,2
ADAIR-IA-2020-3,1,0,0,0,NA,0,3,0,1,0,2,0,3,0,3,2,1,0
ADAIR-IA-2020-4,1,1,0,0,NA,3,2,0,4,2,9,0,5,0,5,14,2,3
ADAIR-IA-2020-5,0,0,0,0,NA,0,1,0,3,0,0,0,1,0,1,1,0,2
ADAIR-IA-2020-6,0,0,0,0,NA,4,0,0,0,0,4,0,4,0,4,4,0,1
ADAIR-IA-2020-7,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,1,1,0,0
ADAIR-IA-2020-8,3,2,2,0,NA,1,4,0,4,0,2,0,5,0,5,3,3,0
ADAIR-IA-2020-9,2,2,1,0,NA,2,2,0,4,3,1,1,3,1,3,1,3,4
ADAIR-KY-2020-1,1,18,1,0,NA,13,11,0,16,12,0,16,7,16,7,4,20,7
ADAIR-KY-2020-10,0,0,0,0,NA,0,0,0,6,0,0,0,0,0,0,2,0,4
ADAIR-KY-2020-11,0,0,0,0,NA,1,1,0,8,8,0,0,2,0,2,3,0,16
ADAIR-KY-2020-12,1,8,0,0,NA,9,6,0,10,15,0,3,9,3,9,3,12,10
ADAIR-KY-2020-2,0,4,0,0,NA,11,1,0,19,12,0,0,12,0,12,4,4,23
ADAIR-KY-2020-3,1,7,1,0,NA,7,4,0,17,10,0,0,5,0,5,5,7,16
ADAIR-KY-2020-4,2,2,4,0,NA,3,2,0,7,2,0,0,5,0,5,1,4,5
